Datetime, Temperature;
15/7/2016 02:45;23,458
15/7/2016 03:00;23,406
15/7/2016 03:15;23,290
15/7/2016 03:30;23,193
15/7/2016 03:45;23,123
15/7/2016 04:00;23,113
15/7/2016 04:15;23,108
15/7/2016 04:30;23,084
15/7/2016 04:45;23,011
15/7/2016 05:00;22,949
15/7/2016 05:15;22,755
15/7/2016 05:30;22,561
15/7/2016 05:45;22,728
15/7/2016 06:00;22,768
15/7/2016 06:15;22,657
15/7/2016 06:30;22,880
15/7/2016 06:45;22,980
15/7/2016 07:00;23,107
15/7/2016 07:15;23,477
15/7/2016 07:30;23,681
15/7/2016 07:45;24,222
15/7/2016 08:00;24,277
15/7/2016 08:15;24,777
15/7/2016 08:30;25,625
15/7/2016 08:45;26,360
15/7/2016 09:00;27,035
15/7/2016 09:15;27,562
15/7/2016 09:30;28,057
15/7/2016 09:45;28,626
15/7/2016 10:00;29,051
15/7/2016 10:15;29,326
15/7/2016 10:30;29,598
15/7/2016 10:45;29,856
15/7/2016 11:00;30,294
15/7/2016 11:15;30,749
15/7/2016 11:30;30,925
15/7/2016 11:45;31,313
15/7/2016 12:00;31,534
15/7/2016 12:15;31,868
15/7/2016 12:30;31,924
15/7/2016 12:45;31,470
15/7/2016 13:00;30,951
15/7/2016 13:15;30,775
15/7/2016 13:30;29,933
15/7/2016 13:45;29,712
15/7/2016 14:00;29,048
15/7/2016 14:15;28,717
15/7/2016 14:30;28,536
15/7/2016 14:45;28,717
15/7/2016 15:00;28,906
15/7/2016 15:15;30,092
15/7/2016 15:30;29,915
15/7/2016 15:45;30,550
15/7/2016 16:00;30,630
15/7/2016 16:15;30,321
15/7/2016 16:30;30,647
15/7/2016 16:45;31,089
15/7/2016 17:00;30,685
15/7/2016 17:15;29,935
15/7/2016 17:30;29,632
15/7/2016 17:45;28,356
15/7/2016 18:00;27,846
15/7/2016 18:15;27,452
15/7/2016 18:30;27,698
15/7/2016 18:45;27,768
15/7/2016 19:00;26,622
15/7/2016 19:15;25,910
15/7/2016 19:30;25,501
15/7/2016 19:45;25,309
15/7/2016 20:00;25,073
15/7/2016 20:15;24,869
15/7/2016 20:30;24,740
15/7/2016 20:45;24,552
15/7/2016 21:00;23,946
15/7/2016 21:15;23,675
15/7/2016 21:30;23,546
15/7/2016 21:45;23,540
15/7/2016 22:00;23,438
15/7/2016 22:15;23,175
15/7/2016 22:30;23,056
15/7/2016 22:45;22,859
15/7/2016 23:00;22,661
15/7/2016 23:15;22,642
15/7/2016 23:30;22,613
15/7/2016 23:45;22,505
16/7/2016 00:00;22,312
16/7/2016 00:15;22,167
16/7/2016 00:30;22,139
16/7/2016 00:45;21,922
16/7/2016 01:00;21,717
16/7/2016 01:15;21,537
16/7/2016 01:30;21,538
16/7/2016 01:45;21,439
16/7/2016 02:00;21,423
16/7/2016 02:15;21,457
16/7/2016 02:30;21,339
16/7/2016 02:45;21,343
16/7/2016 03:00;21,498
16/7/2016 03:15;21,623
16/7/2016 03:30;21,567
16/7/2016 03:45;21,419
16/7/2016 04:00;21,261
16/7/2016 04:15;21,092
16/7/2016 04:30;21,184
16/7/2016 04:45;21,230
16/7/2016 05:00;21,274
16/7/2016 05:15;21,244
16/7/2016 05:30;21,102
16/7/2016 05:45;20,957
16/7/2016 06:00;20,738
16/7/2016 06:15;20,449
16/7/2016 06:30;20,206
16/7/2016 06:45;19,992
16/7/2016 07:00;19,887
16/7/2016 07:15;19,797
16/7/2016 07:30;20,592
16/7/2016 07:45;20,777
16/7/2016 08:00;21,254
16/7/2016 08:15;21,750
16/7/2016 08:30;22,480
16/7/2016 08:45;23,143
16/7/2016 09:00;23,822
16/7/2016 09:15;24,280
16/7/2016 09:30;24,731
16/7/2016 09:45;24,788
16/7/2016 10:00;24,907
16/7/2016 10:15;24,330
16/7/2016 10:30;24,412
16/7/2016 10:45;25,368
16/7/2016 11:00;25,845
16/7/2016 11:15;26,140
16/7/2016 11:30;26,386
16/7/2016 11:45;26,172
16/7/2016 12:00;26,302
16/7/2016 12:15;25,416
16/7/2016 12:30;24,428
16/7/2016 12:45;23,489
16/7/2016 13:00;23,570
16/7/2016 13:15;23,644
16/7/2016 13:30;24,217
16/7/2016 13:45;24,446
16/7/2016 14:00;24,821
16/7/2016 14:15;24,948
16/7/2016 14:30;26,432
16/7/2016 14:45;26,144
16/7/2016 15:00;26,766
16/7/2016 15:15;27,300
16/7/2016 15:30;27,884
16/7/2016 15:45;29,162
16/7/2016 16:00;29,218
16/7/2016 16:15;27,990
16/7/2016 16:30;27,664
16/7/2016 16:45;27,468
16/7/2016 17:00;26,435
16/7/2016 17:15;26,131
16/7/2016 17:30;26,823
16/7/2016 17:45;27,164
16/7/2016 18:00;27,189
16/7/2016 18:15;26,476
16/7/2016 18:30;26,692
16/7/2016 18:45;25,310
16/7/2016 19:00;24,125
16/7/2016 19:15;24,270
16/7/2016 19:30;23,444
16/7/2016 19:45;22,804
16/7/2016 20:00;22,514
16/7/2016 20:15;22,078
16/7/2016 20:30;22,019
16/7/2016 20:45;21,646
16/7/2016 21:00;21,131
16/7/2016 21:15;20,761
16/7/2016 21:30;20,562
16/7/2016 21:45;20,414
16/7/2016 22:00;20,308
16/7/2016 22:15;20,374
16/7/2016 22:30;20,451
16/7/2016 22:45;20,438
16/7/2016 23:00;20,391
16/7/2016 23:15;20,408
16/7/2016 23:30;20,312
16/7/2016 23:45;20,238
17/7/2016 00:00;20,181
17/7/2016 00:15;20,235
17/7/2016 00:30;20,291
17/7/2016 00:45;20,285
17/7/2016 01:00;20,265
17/7/2016 01:15;20,259
17/7/2016 01:30;20,224
17/7/2016 01:45;20,221
17/7/2016 02:00;20,209
